AR_ID,NID_ID,Dam_Name,Year_Removed,Latitude,Longitude,City_County,River,HUC8,State,Dam_Height_ft,Dam_Length_ft,Year_Built,Owner,Original Use,Type_Material,Miles_Restored_US,Miles_Restored_DS,River_Miles_Reported,Last_Updated,,,,,,,,,,
AK-001,,Lake Bettinger Complex Dam,,57.80333,-152.395,Kodiak,,Kodiak-Afognak Islands,AK,36,251,1959,City of Kodiak,Water supply,Timber,,,,11/10/2017,,,,,,,,,,
AK-002,,Bettinger Lower Reservoir Dam B,,57.80167,-152.395,Kodiak,,Kodiak-Afognak Islands,AK,,245,1959,City of Kodiak,Water supply,Timber,,,,11/10/2017,,,,,,,,,,
AK-003,,Memory Estates Dam #1,,62.61833,-149.427,Matanuska-Susitna,,Talkeetna River,AK,,379,1973,,Recreation,Earthen,,,,11/10/2017,,,,,,,,,,
AK-004,,Memory Estates Dam #2,,62.62667,-149.38,Matanuska-Susitna,,Talkeetna River,AK,,444,1973,,Recreation,Earthen,,,,11/10/2017,,,,,,,,,,
AK-005,,Switzer One Dam,1988,,,"Tongass National Forest, Juneau",Switzer Creek,Lynn Canal,AK,15,,,,,,,,,11/10/2017,,,,,,,,,,
AK-006,,Switzer Two Dam,1988,58.365,-134.5,"Tongass National Forest, Juneau",Switzer Creek,Lynn Canal,AK,15,,,,,,,,,11/10/2017,,,,,,,,,,
AK-007,,City of Kake Dam,2000,56.98154,-133.931,Kake,Gunnuk Creek,Kuiu-Kupreanof-Mitkof Islands,AK,,91,1959,,Water supply,,,,,11/10/2017,,,,,,,,,,
AK-008,,Davidson Ditch Diversion Dam,2002,65.2928,-146.404,Fairbanks North Star,Chatanika River,Tolovana River,AK,,,1920s,,Industrial,,,,65,11/10/2017,,,,,,,,,,
AK-009,,Unnamed (Bridle Path Dam),2004,,,,Allison Creek,Crosswicks-Neshaminy,AK,6,40,1976,,,Concrete,,,,11/10/2017,,,,,,,,,,
AK-010,AK00093,Lower Eklutna River Dam,2017,61.449393,-149.32388,Anchorage,Eklutna,Anchorage,AK,70,90,1929,Eklutna Inc,Hydropower,Concrete,,,16,2/8/2018,,,,,,,,,,
AL-001,,Marvel Slab Dam,2004,33.16564,-87.0294,Montevallo,Cahaba River,Cahaba,AL,6,210,1965,,Bridge (consisting of 46 culverts) that allowed coal and logging trucks and strip mining equipment to cross the river,Concrete,,,,11/10/2017,,,,,,,,,,
AL-002,,Unnamed Dam,2007,,,,Mud Creek,Crosswicks-Neshaminy,AL,,,,Hanesville Water and Sewer,Illegally constructed to capture raw sewage leaking from a wastewater treatment plan.,,,,,11/10/2017,,,,,,,,,,
AL-003,,Unnamed Dam,2010,32.36398,-85.1216,Seale,Uchee Creek,Crosswicks-Neshaminy,AL,,,,,,,,,25,11/10/2017,,,,,,,,,,
AL-004,,Shades Branch Steel Ford ,2011,33.22096,-87.0295,West Blocton,Shades Branch,Cahaba,AL,,,,,,,,,3,11/10/2017,,,,,,,,,,
AL-005,,Goodwins Mill Dam,2013,33.81973,-86.3855,St Clair County,Big Canoe Creek,Middle Coosa,AL,15,175,Early 1900's,Private,Grist mill,Stone,,,12,11/10/2017,,,,,,,,,,
AL-006,,Old Shadow Lake Dam,2013,33.68278,-86.6464,Pinson,Turkey Creek,Locust,AL,6,85,1920s,Private,Swimming hole,Concrete,,,0.5,1/29/2018,,,,,,,,,,
AL-007,,Howle and Turner Dam,2019,33.55203,-85.61205,Delta/Cleburne,Tallapoosa River,Upper Tallapoosa,AL,16,100,1935,Heflin Waterworks and Sewer Board/Tyson Corp.,Grist Mill/Cotton Gin,,397,,,2/6/2020,,,,,,,,,,
AL-008,,Livingston Dam,2019,32.588457,-88.197545,Livingston,Sucarnoochee River,Mobile,AL,,,1979,,Water Supply,Concrete/Steel,,,,2/6/2020,,,,,,,,,,
AR-001,,Winton Springs Dam,,,,,,,AR,4,,,,,,,,,11/10/2017,,,,,,,,,,
AR-002,,Hot Springs Park Ricks Lower #1 Dam,1986,,,,,,AR,11,,,,,,,,,11/10/2017,,,,,,,,,,
AR-003,,Lake St. Francis Dam,1989,35.0716,-90.7583,Johnson,Crow Creek,Lower St. Francis,AR,45,,,,,,,,,11/10/2017,,,,,,,,,,
AR-004,,Unnamed ford,2011,36.26568,-92.7099,Yelville,Crooked Creek,Bull Shoals Lake,AR,,,,,,Concrete,,,27,11/10/2017,,,,,,,,,,
AZ-002,,Perrin Dam,1980,,,,,,AZ,32,,,,,,,,,11/10/2017,,,,,,,,,,
AZ-003,,Concrete Dam,1982,,,,,,AZ,39,,,,,,,,,11/10/2017,,,,,,,,,,
AZ-004,,Fossil Creek Diversion Dam,2008,34.42133,-111.576,Near Camp Verde ,Fossil Creek,Lower Verde,AZ,25,100,,,Hydropower,Concrete masonry gravity,,,,11/10/2017,,,,,,,,,,
CA-001,,Big Creek Manufacturing Dam,,,,,Big Creek,,CA,14,,,,,,,,,11/10/2017,,,,,,,,,,
CA-002,,Minnie Reeves Dam,2002,40.638110,-122.908000,Douglas City,Indian Creek,Trinity,CA,20,,,,,,,,,11/10/2017,,,,,,,,,,
CA-003,,Lone Jack Dam,,,,,Trinity River (East Fork of North Fork),,CA,24,,,,,,,,,11/10/2017,,,,,,,,,,
CA-004,,Arco Pond Dam,,,,,,,CA,10,,,,,,,,,11/10/2017,,,,,,,,,,
CA-005,,Trout Haven Dam,,41.89046,-123.815,Six Rivers National Forest,Monkey Creek,Smith,CA,,,,,,,,,,11/10/2017,,,,,,,,,,
CA-006,,Salt Creek Dam,,39.29306,-122.795,Mendocino National Forest,Salt Creek,Upper Eel,CA,10,,,,,,,,,11/10/2017,,,,,,,,,,
CA-007,,Lower Murphy Dam,,38.069380,-122.918000,Inverness,Home Bay,Tomales-Drake Bays,CA,6,,,,,,,,,11/10/2017,,,,,,,,,,
CA-008,,Upper Murphy Dam,,38.08526,-122.904,"Point Reyes National Seashore, Inverness",Home Ranch Creek,Tomales-Drake Bays,CA,25,,,,,,,,,11/10/2017,,,,,,,,,,
CA-009,,Russell (Hinkley) Dam,1922,,,,Hayfork Creek,,CA,11,,,,,,,,,11/10/2017,,,,,,,,,,
CA-010,,Hessellwood Dam,1925,,,,Hayfork Creek,,CA,10,,,,,,,,,11/10/2017,,,,,,,,,,
CA-011,,Henry Danninbrink Dam,1927,,,,Canyon Creek,,CA,,,,,,,,,,11/10/2017,,,,,,,,,,
CA-012,,Anderline Dam,1936,,,,Rush Creek,,CA,20,,,,,,,,,11/10/2017,,,,,,,,,,
CA-013,,D.B. Fields/Johnson Dam,1946,39.29508,-123.399,Mendocino County,Rice Creek,Big-Navarro-Garcia,CA,,,,,,,,,,11/10/2017,,,,,,,,,,
CA-014,,Bonally Mining Co. Dam,1946,,,,Salmon River (North Fork),,CA,11,177,,,,,,,,11/10/2017,,,,,,,,,,
CA-015,,Trinity Cty. Water & Power Co. Dam,1946,,,,Trinity River (East Fork),,CA,10,,,,,,,,,11/10/2017,,,,,,,,,,
CA-016,,D.B. Fields Dam,1947,,,,Indian Creek,,CA,6,,,,,,,,,11/10/2017,,,,,,,,,,
CA-017,,Altoona Dam,1947,,,,Kidder Creek,,CA,12,60,,,,,,,,11/10/2017,,,,,,,,,,
CA-018,,Three C. Picket Dam,1949,,,,Beaver Creek,,CA,,,,,,,,,,11/10/2017,,,,,,,,,,
CA-019,,Big Nugget Mine Dam,1949,,,,Horse Creek,,CA,12,40,,,,,,,,11/10/2017,,,,,,,,,,
CA-020,,Moser Dam,1949,,,,Swillup Creek,,CA,,,,,,,,,,11/10/2017,,,,,,,,,,
CA-021,,Todd Dam,1949,,,,Trinity River (East Fork of North Fork),,CA,14,,,,,,,,,11/10/2017,,,,,,,,,,
CA-022,,Smith Dam,1949,,,,White's Gulch,Lower Susquehanna-Swatara,CA,8,25,,,,,,,,11/10/2017,,,,,,,,,,
CA-023,,Clarissa V. Mining Dam,1950,,,,Redding Creek,,CA,20,,,,,,,,,11/10/2017,,,,,,,,,,
CA-024,,Bennett-Smith Dam,1950,,,,Salmon River (South Fork),,CA,10,,,,,,,,,11/10/2017,,,,,,,,,,
CA-025,,Barton Dam,1950,,,,Scott River (South Fork),,CA,12,25,,,,,,,,11/10/2017,,,,,,,,,,
CA-026,,North Fork Placers Dam,1950,,,,Trinity River (North Fork),,CA,15,,,,,,,,,11/10/2017,,,,,,,,,,
CA-027,,Red Hill Mining Do. Dam,1951,,,,Canyon Creek,,CA,30,,,,,,,,,11/10/2017,,,,,,,,,,
CA-028,,Quinn Dam,1951,,,,Trinity River (East Fork of North Fork),Middle James-Buffalo,CA,14,,,,,,,,,11/10/2017,,,,,,,,,,
CA-029,,Sweasey Dam,1970,40.81962,-123.956,Arcata,Mad River,Mad-Redwood,CA,55,,,,,,,,,11/10/2017,,,,,,,,,,
CA-030,,Bear Valley Dam,1982,37.99325,-122.814,Point Reyes National Seashore,,Tomales-Drake Bays,CA,15,,,,,,,,,11/10/2017,,,,,,,,,,
CA-031,,Rogers Dam,1983,38.04692,-122.787,Point Reyes Station,Tributary to Olema Creek,Tomales-Drake Bays,CA,40,,,,,,,,,11/10/2017,,,,,,,,,,
CA-032,,Happy Isles Dam,1987,,,,,,CA,8,,,,,,,,,11/10/2017,,,,,,,,,,
