River System,Town,Obstruction,Action,Type of removal,Other Action,complete year,RI Dam #,Lat-Long (if removed or no #),Fishway material,Partners,Funding
Annaquatucket River,South Kingstown,Hamilton,denil fishway,,eel ramp,2007,550,,earth & concrete,"NRCS, USFWS, Hamilton Condo Assoc","NRCS-WHIP, Corporate Wetlands"
Annaquatucket River,South Kingstown,Belleville,denil fishway,,,1970,553,,concrete & earth,,1965 Anadromous Fish Act
Annaquatucket River,South Kingstown,Secret Lake,denil fishway,,,circa 1973,714/705?,"41.557111, -71.472611",concrete,,1965 Anadromous Fish Act
Factory Pond,Charlestown,Factory Brook - first obstruction,denil fishway,,,2017,,"41.379444, -71.606111",,"RI DEM, NOAA, RI DOT, USFWS, North Cape Trustees, Kleinschmidt Assoc.","North Cape, GZA, USFWS, CRMS grant Fish America request, USFWS Sprotfish Rest, CRMC HTF"
Factory Pond,South Kingstown,By-pass channel,bypass channel,,,2011,,"41.388556, -71.601333",concrete & stone,"SK PWD, NOAA, RI DEM, CRMC","SK PWD, NOAA, CRMC-HRF"
Hunt/Potowomut,North Kingstown,Potowomut,denil fishway,,,2013,551,,concrete  ,"RI DEM, RI Audubon, NRCS, RI DOT","RI DEM, RI DOT"
Hunt/Potowomut,North Kingstown,Forge Rd,denil fishway,,,2002,,"41.641194, -71.445139",concrete & stone,RI DOT,RI DOT
Kickemuit River,Warren,first obstruction,denil fishway,,,2007,479,,concrete,"RI DEM, NRCS, NOAA, USFWS, Bristol County Water Authority, US EPA, Town of Warren, ESS, CRMC, Weson & Sampson Eng","RI DEM/EPA 319WR, NRCS, NOAA, USFWS, BCWA, CRMC, Brayton Pt"
Massachuck Creek,,Echo Lake,Pool and weir with vertical slots,,,2001,570,,concrete,,
Narrow River,North Kingstown,Gilbert Stuart,denil fishway,,eel ramp,2011,513,,,"Gilbert Stuart Museum, CRMC",CRMC
Narrow River,North Kingstown,Shady Lea Dam,removal,,,2018,,"41.533611, -71.463722",,"Save the Bay, NRCS, private land owner",CRMC
Nonquit,Tiverton,Nonquit Pond,denil fishway,,,1970,396,,concrete,,1965 Anadromous Fish Act
Pawtuxet River,,first obstruction below Bellafont Brook,partial removal ,,,2011,,,,"NBEP, RI DEM, NRCS, NOAA, CRMC, Pawtuxet River Authority, Save the Bay, USFWS, American Rivers",
Saugatucket River,South Kingstown,Main Street,denil fishway,,eel pass & Juv diverter,2016,425,,concrete,"RI DEM, Town of South Kingston, RI DOT, NOAA, Save the Bay, NRCS, USFWS","SK Park Project, North Cape, NOAA, Rose Hill, Save the Bay, CRMC-HRF, NRCS"
