STATE ID,DAM NAME,OTHER  NAME,NID,NO STRUCTURES,OTHER STRUCT ID,LONGITUDE,LATITUDE,COUNTY,CITY/TOWN,RIVER/STREAM,YR COMPLETED,PURPOSES,DRINKING WATER,DAM TYPE,LENGTH (FT),HT (FT) EST,HT (FT),STRUCT HT(FT),HYD HT(FT),SPILL W(FT),SPILL HT(FT),SPILL MAX D(FT),NORM STOR(AC-FT),MAX STOR(AC-FT),NORM SURF AREA(AC),DRN AREA(SQ MI),SW MAX (CFS),OUTMAX(CFS),FRESHET(CFS),HIST HAZARD,HIST SOURCE,HAZARD,HAZARD SOURCE,COMMENT,REGULATED,ACTIVE,PERMIT AUTHORITY,INSP AUTHORITY,ENFORCE AUTHORITY,SIZE,DS JURISDICTION,STATE REGULATORY AGENCY,FED REGULATORY AGENCY,YR MODIFIED,SPILL TYPE,OUTLET GATES,NEAREST CITY/TOWN,DIST TO CITY/TOWN,NON-FED ON FED PROP,NRCS
001,WALLUM LAKE,,RI00301,,,-71.76204,42.00071,PROVIDENCE,BURRILLVILLE,CLEAR RIVER,1866,R,,"MASONRY,GRAVITY,EARTH",80,10,7,10,8,3,7,1,9000,10000,322,2,80,38,300,LOW,,SIGNIFICANT,GZA 2007,,Y,Y,Y,Y,Y,MEDIUM,Y,DS,,,,,BURRILLVILLE,4,N,
002,WALLUM LAKE POOL,,RI04563,,,-71.75893,41.9985,PROVIDENCE,BURRILLVILLE,CLEAR RIVER,,O,,,0,11.5,11,0,,,,,0,0,0,2,0,,300,LOW,,LOW,RIDEM 2006,,Y,Y,N,Y,N,,Y,W,,,,,,,N,
003,WILSON RESERVOIR,,RI00302,,,-71.7223282,41.96615218,PROVIDENCE,BURRILLVILLE,CLEAR RIVER,1866,R,,"GRAVITY,EARTH",480,,21,19,17,25,19,4.5,590,840,114,13,395,348,933,LOW,,HIGH,GZA 2004,,Y,Y,Y,Y,Y,MEDIUM,Y,DS,,,,,BURRILLVILLE,1,N,
004,PRENDERGAST MILL POND,WHITE MILL PARK,RI04004,,,-71.71442412,41.96520993,PROVIDENCE,BURRILLVILLE,CLEAR RIVER,1928,,,"CONCRETE,EARTH",110,11,14,12,10,90,10,2.5,19,28,4,13,1174,1008,2000,LOW,,LOW,RIDEM 2006,,Y,Y,N,Y,N,SMALL,Y,W,,,,,BURRILLVILLE,1,N,
005,GREEN SHODDY MILL POND,,RI04005,,,-71.70832827,41.96719738,PROVIDENCE,BURRILLVILLE,CLEAR RIVER,1883,,,,160,11,14.5,15,9,71,11,5.6,5,8,1,13,1363,30,1010,LOW,,LOW,RIDEM 2006,,Y,Y,N,Y,N,SMALL,Y,W,,,,,BURRILLVILLE,0.5,N,
006,PREMIER MILL POND,,RI04006,,,-71.70507051,41.96719364,PROVIDENCE,BURRILLVILLE,CLEAR RIVER,1883,,,"MASONRY,EARTH",450,11.5,10,11,8,102,8.5,2.2,9,10,2,14,1265,1183,1029,LOW,,LOW,RIDEM 2006,,Y,Y,N,Y,N,SMALL,Y,W,,,,,BURRILLVILLE,0.5,N,
008,HARRISVILLE POND,,RI00303,,,-71.67486571,41.96574024,PROVIDENCE,BURRILLVILLE,PASCOAG RIVER,1854,R,,"ROCKFILL,GRAVITY,EARTH",550,20.5,19,22,17,132,17,4.5,56,100,18,43,3200,126,2830,LOW,,HIGH,GZA 2007,,Y,Y,Y,Y,Y,SMALL,Y,DS,,,,,BURRILLVILLE,0,N,
010,MAPLEVILLE POND,,RI04008,,,-71.64486699,41.94935606,PROVIDENCE,BURRILLVILLE,CHEPACHET RIVER,1883,O,,"EARTH,MASONRY",360,8,9,9,7,72,6.5,2.3,12,15,3,21,1157,168,1428,LOW,,LOW,GZA MAP 2008 & RIDEM 7/23/2012 DEED RESTRICT(HIGH),HIGH HAZ BEFORE DEED RESTRICT,Y,Y,N,Y,N,SMALL,Y,W,,,,,BURRILLVILLE,0.5,N,
011,AMERICAN MILL POND,,RI04009,,,-71.70204927,41.96039962,PROVIDENCE,BURRILLVILLE,PASCOAG RIVER,1883,,,"STONE,EARTH",190,9.5,14,14,12,29,12,2,6,8,1,9,292,113,702,LOW,,LOW,RIDEM 2006,,Y,Y,N,Y,N,SMALL,Y,W,,,,,BURRILLVILLE,0.5,N,
014,AKELA POND,,RI04010,,,-71.70196,41.95665,PROVIDENCE,BURRILLVILLE,PASCOAG RIVER,1883,,,"STONE,EARTH",50,10,10,10,8,36,8,1.9,5,6,0,9,329,0,713,LOW,,LOW,RIDEM 2006,,Y,Y,N,Y,N,SMALL,Y,W,,,,,BURRILLVILLE,1,N,
015,UNION MILL POND,PASCOAG RES. LOWER,RI04011,,,-71.70307161,41.95515439,PROVIDENCE,BURRILLVILLE,PASCOAG RIVER,1883,,,"EARTH,MASONRY",290,,7.3,,5,26,5.5,2.6,45,70,12,9,425,290,705,SIGNIFICANT,,SIGNIFICANT,GZA 2004,,Y,Y,Y,Y,Y,SMALL,Y,DS,,,,,BURRILLVILLE,0,N,
016,PASCOAG RESERVOIR UPPER,ECHO LAKE,RI00304,2,D01,-71.70506286,41.95061489,PROVIDENCE,BURRILLVILLE,BRANDY BROOK,1860,R,,"GRAVITY,EARTH",475,,27,27,27,22,19,5,5000,9000,500,8.42,1020,203,685,HIGH,,HIGH,"ACOE 1979,GZA UMAP 2008 (MAIN); GZA MAP 2008 (D01)","D01 (-71.708, 41.952) HIGH HAZ APPEALED & DENIED",Y,Y,Y,Y,Y,MEDIUM,Y,DS,,,,,BURRILLVILLE,1,N,
017,BURLINGAME RESERVOIR LOWER,,RI04385,,,-71.74121861,41.91563034,PROVIDENCE,GLOCESTER,BRANDY BROOK,,FR,,EARTH,250,,3,3,2,25,2.5,0.5,2,3,1,2,306,0,275,LOW,,LOW,RIDEM 2006,,N,Y,N,N,N,SMALL,N,W,,,,,GLOCESTER,1,N,
018,BURLINGAME RESERVOIR UPPER,,RI01306,,,-71.74237821,41.91408918,PROVIDENCE,GLOCESTER,BRANDY BROOK,1885,FR,,"EARTH,ROCKFILL,CONCRETE",355,,10.4,12,10,29,7,1.5,238,340,69,2,159,112,640,SIGNIFICANT,ACOE-1981,HIGH,"ACOE 1981, RIDEM DEF & GZA UMAP 2008",,Y,Y,Y,Y,Y,SMALL,Y,DS,,,,,GLOCESTER,0,N,
019,SWEET'S MILL POND,,RI04154,,,-71.74698621,41.90110582,PROVIDENCE,GLOCESTER,BRANDY BROOK,,FR,,"EARTH,ROCKFILL",50,,,,,,,,,,,,,,,LOW,,LOW,RIDEM 2006,,UNK,Y,N,N,N,SMALL,,W,,,,,GLOCESTER,0,N,
021,CHERRY VALLEY POND,,RI01307,,,-71.67400355,41.87384416,PROVIDENCE,GLOCESTER,CHEPACHET RIVER,1958,R,,"EARTH,ROCKFILL,CONCRETE",300,7,8,9,8,5,6,1.5,77,86,14,0,32,0,40,LOW,,SIGNIFICANT,GZA MAP 2008,,Y,Y,Y,Y,Y,SMALL,Y,DS,,,,,GLOCESTER,3,N,
022,KEECH POND,,RI01301,,,-71.68824006,41.88439945,PROVIDENCE,GLOCESTER,CHEPACHET RIVER,1952,R,,"GRAVITY,EARTH",800,,15,15,12,28,9,3.5,768,870,128,6,435,17,570,LOW,,HIGH,GZA 2004,,Y,Y,Y,Y,Y,SMALL,Y,DS,,,,,GLOCESTER,2,N,
023,SMITH + SAYLES RESERVOIR,SAND,RI01302,,,-71.67700962,41.9022369,PROVIDENCE,GLOCESTER,CHEPACHET RIVER,1865,R,,"MASONRY,GRAVITY,EARTH",980,,15,16,9,35,8,6,875,1450,175,8,785,112,642,LOW,,SIGNIFICANT,GZA 2004,,Y,Y,Y,Y,Y,MEDIUM,Y,DS,,,,,GLOCESTER,1,N,
024,SHINGLE MILL POND UPPER,,RI04155,,,-71.68565368,41.90237426,PROVIDENCE,GLOCESTER,STINGO BROOK-TRIB,,R,,"EARTH,MASONRY",150,9,8,8,6,10,6,2,15,32,8,2,85,,238,LOW,,LOW,RIDEM 2006,,Y,Y,N,Y,N,SMALL,Y,W,,,,,GLOCESTER,0,N,
025,MOWRY POND,,RI04156,,,-71.67104339,41.9134331,PROVIDENCE,GLOCESTER,CHEPACHET RIVER,1883,,,"EARTH,MASONRY",180,7.5,8.5,8,5,59,5,3.3,24,42,6,12,1082,157,881,LOW,,LOW,GZA MAP 2008,,Y,Y,N,Y,N,SMALL,Y,W,,,,,GLOCESTER,0,N,
026,VALENTINE MILL POND,,RI04157,,,-71.66915888,41.91421507,PROVIDENCE,GLOCESTER,CHEPACHET RIVER,,,,MASONRY,,10,,,,,,,,,,,,,,LOW,,LOW,RIDEM 2006,,Y,Y,N,N,N,,,W,,,,,GLOCESTER,0,N,
027,SUCKER POND,,RI00305,,,-71.67079928,41.93589784,PROVIDENCE,BURRILLVILLE,SUCKER BROOK,1883,,,"GRAVITY,EARTH",220,10,13,14,12,5,12,1,278,330,59,1,117,33,102,LOW,,SIGNIFICANT,GZA 2007,,Y,Y,Y,Y,Y,SMALL,Y,DS,,,,,BURRILLVILLE,3,N,
028,STEERE'S SAWMILL POND,,RI04158,,,-71.66367342,41.92425536,PROVIDENCE,GLOCESTER,SUCKER BROOK,1822,,,"EARTH,ROCKFILL",50,13.5,12,12,8,15,8,2,30,40,9,3,150,,336,LOW,,LOW,RIDEM 2006,,Y,Y,N,Y,N,SMALL,Y,W,,,,,GLOCESTER,0,N,
029,MOWER POND,SPRING GROVE POND,RI01303,,,-71.65351864,41.91373065,PROVIDENCE,GLOCESTER,SPRING GROVE BROOK,1885,R,,"GRAVITY,EARTH",300,,14,15,15,1,10,2,234,265,22,1,63,63,130,LOW,,SIGNIFICANT,GZA 2004,,Y,Y,Y,Y,Y,SMALL,Y,DS,,,,,GLOCESTER,2,N,
030,SPRING GROVE POND,,RI04159,,,-71.65464019,41.91461561,PROVIDENCE,GLOCESTER,SUCKER BROOK,,R,,EARTH,,,,,,,,,,,,,,,,LOW,,LOW,RIDEM 2006,,UNK,Y,N,N,N,SMALL,,W,,,,,GLOCESTER,0,N,
031,OLD MILL POND,,RI04160,,,-71.65567019,41.91447829,PROVIDENCE,GLOCESTER,SPRING GROVE BROOK,,,,"EARTH,CONCRETE",35,12,4.7,7,3,1.8,2.8,1.5,3,4,1,1,50,,150,LOW,,LOW,RIDEM 2006,,Y,Y,N,N,N,SMALL,N,W,,,,,GLOCESTER,0,N,
032,SNAKESKIN POND,,RI04161,,,-71.65752414,41.92057423,PROVIDENCE,GLOCESTER,SPRING GROVE BROOK,,,,"EARTH,MASONRY",100,9.5,7.7,7,4,9,4.5,3,22,35,6,2,184,184,246,LOW,,SIGNIFICANT,GZA MAP 2008,,Y,Y,Y,Y,Y,SMALL,Y,DS,,,,,GLOCESTER,0,N,
033,STEERE'S POND LOWER,,RI04162,,,-71.65909578,41.92239377,PROVIDENCE,GLOCESTER,CHEPACHET RIVER,,,,"EARTH,MASONRY",180,8,9.2,9,6,58,6.5,3,12,24,4,16,1074,460,1150,LOW,,LOW,RIDEM 2006,,Y,Y,N,Y,N,SMALL,Y,W,,,,,GLOCESTER,0,N,
035,GILLERAN POND,,RI04013,,,-71.6456604,41.94600681,PROVIDENCE,BURRILLVILLE,CHEPACHET RIVER,1883,,,"EARTH,MASONRY",255,7,11.6,12,8,79,8,4,16,20,4,20,2298,0,1353,LOW,,LOW,GZA 2007 & DEM 01/19/2012,,Y,Y,N,Y,N,SMALL,Y,W,,,,,BURRILLVILLE,0,N,
036,TROUT POND,,RI04014,,,-71.64221955,41.95095065,PROVIDENCE,BURRILLVILLE,TROUT POND BROOK,1883,FP,,"EARTH,MASONRY",300,5,8,8,5,10,5,2,10,15,4,0,50,5,90,LOW,,LOW,RIDEM 2006,,Y,Y,N,Y,N,SMALL,Y,W,,,,,BURRILLVILLE,1,N,
037,OAKLAND POND,,RI00312,,,-71.64189152,41.95983507,PROVIDENCE,BURRILLVILLE,BRANCH RIVER,1850,,,"GRAVITY,EARTH",330,8,11,12,7,165,7,3.7,114,196,5,68,4280,619,3115,LOW,,LOW,RIDEM 2006,,Y,Y,N,Y,N,SMALL,Y,W,,,,,BURRILLVILLE,2,N,
038,GLENDALE,,RI04564,,,-71.63161,41.975,PROVIDENCE,BURRILLVILLE,BRANCH RIVER,,,,,0,,,0,,,,,0,0,0,72,0,,4445,LOW,,LOW,RIDEM 2006,,UNK,Y,N,N,N,,,W,,,,,,,N,
