OBJECTID,Shape,nid_id,state_id,dam_name,alt_name,dam_type,longitude,latitude,no_structures,other_struct_id,county,town,river_stream,purposes,drinking_water,dam_type_dem,length_ft,ht_ft_est,ht_ft,struct_htft,hyd_htft,spill_wft,spill_htft,spill_max_dft,norm_storac_ft,max_storac_ft,norm_surf_areaac,drn_areasq_mi,sw_max_cfs,outmaxcfs,freshetcfs,hist_hazard,hist_source,hazard,hazard_source,comment,regulated,active,permit_authority,insp_authority,enforce_authority,size,ds_jurisdiction,state_regulatory_agency,fed_regulatory_agency,yr_modified,spill_type,outlet_gates,nearest_city_town,dist_to_city_town,non_fed_on_fed_prop,nrcs,state,fish_passage_modification,fishway_material,other_fish_passage_modification,type_of_removal,removed,regauth,owntype1,owntype2,owntype3,mgmtunit,locstatus,dam_status,dam_no,quad_no,town_no,sbas_no,rbas_no,mbas_no,year_removed,removed_ar,nid_recordid,dam_former_name,stateid,section,county_nid,river,distance,owner_name,owner_type,dam_designer,private_dam,dam_type_nid,core,foundation,purposes_nid,year_completed,year_modified,dam_length,dam_height,year_modified_1,hydraulic_height,nid_height,max_discharge,max_storage,normal_storage,nid_storage,surface_area,drainage_area,eap,inspection_date,inspection_frequency,state_reg_dam,state_reg_agency,spillway_type,spillway_width,outlet_gates_nid,volume,number_of_locks,length_of_locks,width_of_locks,fed_funding,fed_design,fed_construction,fed_regulatory,fed_inspection,fed_operation,fed_owner,fed_other,source_agency,submit_date,url_address,cong_name,party,cong_dist,otherstructureid,numseparatestructures,permittingauthority,inspectionauthority,enforcementauthority,jurisdictionaldam,eap_last_rev_date,dam_atlas_id
1,"(-72.79115165399998, 41.75477043300003)",CT00002,,HARTFORD RESERVOIR #3 DAM,HARTFORD RESERVOIR #3,,-72.79115165399998,41.75477043300003,,,,West Hartford,,,,,,,,,,,,,,,,,,,,,,High,,,,,,,,,,,,,,,,,,,CT,,,,,False,,,,,,,Active In Use,15509.0,36.0,155.0,4403.0,44.0,4.0,,,7395.0,,,WEST HARTFORD,HARTFORD,UNNAMED TRIBUTARY OF TROUT BROOK,1.0,METROPOLITAN DISTRICT COMMISSION,U,,N,RE,,,S,,,500.0,41.0,,,41.0,946.0,487.0,338.0,487.0,25.0,0.5,N,2014-11-04,2.0,Y,DEEP,,25.0,,0.0,0.0,0.0,0.0,,,,,,,,,CT,31-OCT-18,,John B. Larson (D),D,CT01,S01,2.0,Y,Y,Y,Y,10-MAR-16,1
2,"(-72.79115165399998, 41.75477043300003)",CT00002,,HARTFORD RESERVOIR #3 DIKE,HARTFORD RESERVOIR #3,,-72.79115165399998,41.75477043300003,,,,West Hartford,,,,,,,,,,,,,,,,,,,,,,High,,,,,,,,,,,,,,,,,,,CT,,,,,False,,,,,,,Active In Use,15509.0,36.0,155.0,4403.0,44.0,4.0,,,7396.0,,,WEST HARTFORD,HARTFORD,,0.0,METROPOLITAN DISTRICT COMMISSION,U,,N,RE,,,,,,675.0,,,,0.0,,,0.0,0.0,,,Y,2014-11-04,2.0,Y,DEEP,,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,CT,31-OCT-18,,John B. Larson (D),D,CT01,S02,2.0,Y,Y,Y,Y,,2
3,"(-72.78768081599998, 41.76082033100005)",CT00002,,HARTFORD RESERVOIR #3 DAM,HARTFORD RESERVOIR #3,,-72.78768081599998,41.76082033100005,,,,West Hartford,,,,,,,,,,,,,,,,,,,,,,High,,,,,,,,,,,,,,,,,,,CT,,,,,False,,,,,,,Active In Use,15539.0,0.0,155.0,4403.0,44.0,4.0,,,7395.0,,,WEST HARTFORD,HARTFORD,UNNAMED TRIBUTARY OF TROUT BROOK,1.0,METROPOLITAN DISTRICT COMMISSION,U,,N,RE,,,S,,,500.0,41.0,,,41.0,946.0,487.0,338.0,487.0,25.0,0.5,N,2014-11-04,2.0,Y,DEEP,,25.0,,0.0,0.0,0.0,0.0,,,,,,,,,CT,31-OCT-18,,John B. Larson (D),D,CT01,S01,2.0,Y,Y,Y,Y,10-MAR-16,3
4,"(-72.78768081599998, 41.76082033100005)",CT00002,,HARTFORD RESERVOIR #3 DIKE,HARTFORD RESERVOIR #3,,-72.78768081599998,41.76082033100005,,,,West Hartford,,,,,,,,,,,,,,,,,,,,,,High,,,,,,,,,,,,,,,,,,,CT,,,,,False,,,,,,,Active In Use,15539.0,0.0,155.0,4403.0,44.0,4.0,,,7396.0,,,WEST HARTFORD,HARTFORD,,0.0,METROPOLITAN DISTRICT COMMISSION,U,,N,RE,,,,,,675.0,,,,0.0,,,0.0,0.0,,,Y,2014-11-04,2.0,Y,DEEP,,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,CT,31-OCT-18,,John B. Larson (D),D,CT01,S02,2.0,Y,Y,Y,Y,,4
5,"(-72.78424431999997, 41.767514720000065)",CT00003,,HARTFORD RESERVOIR #2 DAM,HARTFORD RESERVOIR #2,,-72.78424431999997,41.767514720000065,,,,West Hartford,,,,,,,,,,,,,,,,,,,,,,High,,,,,,,,,,,,,,,,,,,CT,,,,,False,,,,,,,Active In Use,15508.0,36.0,155.0,4403.0,44.0,4.0,,,7397.0,,,WEST HARTFORD,HARTFORD,UNNAMED,1.0,METROPOLITAN DISTRICT COMMISSION,U,,N,RE,,,S,,,1425.0,32.0,,,32.0,1540.0,1140.0,870.0,1140.0,53.8,1.2,N,2017-12-16,2.0,Y,DEEP,,54.0,,0.0,0.0,0.0,0.0,,,,,,,,,CT,31-OCT-18,,John B. Larson (D),D,CT01,,0.0,Y,Y,Y,Y,10-MAR-16,5
6,"(-72.78370026999994, 41.755769024000074)",CT00004,,HARTFORD RESERVOIR #5 DAM,HARTFORD RESERVOIR #5,,-72.78370026999994,41.755769024000074,,,,West Hartford,,,,,,,,,,,,,,,,,,,,,,High,,,,,,,,,,,,,,,,,,,CT,,,,,False,,,,,,,Active In Use,15510.0,36.0,155.0,4403.0,44.0,4.0,,,7398.0,,,WEST HARTFORD,HARTFORD,UNNAMED,2.0,METROPOLITAN DISTRICT COMMISSION,U,,N,RE,,,S,,,550.0,24.0,,,24.0,2330.0,301.0,156.0,301.0,26.0,1.1,N,2017-06-23,2.0,Y,DEEP,U,62.0,,0.0,0.0,0.0,0.0,,,,,,,,,CT,31-OCT-18,,John B. Larson (D),D,CT01,S01,2.0,Y,Y,Y,Y,10-MAR-16,6
7,"(-72.78370026999994, 41.755769024000074)",CT00004,,HARTFORD RESERVOIR #5 DIKE (ALSO SEE #15510),HARTFORD RESERVOIR #5,,-72.78370026999994,41.755769024000074,,,,West Hartford,,,,,,,,,,,,,,,,,,,,,,High,,,,,,,,,,,,,,,,,,,CT,,,,,False,,,,,,,Active In Use,15510.0,36.0,155.0,4403.0,44.0,4.0,,,7399.0,,,WEST HARTFORD,HARTFORD,,0.0,METROPOLITAN DISTRICT COMMISSION,U,,N,,,,,,,315.0,9.0,,,9.0,,301.0,156.0,301.0,,1.1,N,2017-06-23,2.0,Y,DEEP,,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,CT,31-OCT-18,,John B. Larson (D),D,CT01,S02,2.0,Y,Y,Y,Y,,7
8,"(-72.78164699999996, 41.75942100000003)",CT00004,,HARTFORD RESERVOIR #5 DAM,HARTFORD RESERVOIR #5,,-72.78164699999996,41.75942100000003,,,,West Hartford,,,,,,,,,,,,,,,,,,,,,,High,,,,,,,,,,,,,,,,,,,CT,,,,,False,,,,,,,Active In Use,15540.0,0.0,155.0,4403.0,44.0,4.0,,,7398.0,,,WEST HARTFORD,HARTFORD,UNNAMED,2.0,METROPOLITAN DISTRICT COMMISSION,U,,N,RE,,,S,,,550.0,24.0,,,24.0,2330.0,301.0,156.0,301.0,26.0,1.1,N,2017-06-23,2.0,Y,DEEP,U,62.0,,0.0,0.0,0.0,0.0,,,,,,,,,CT,31-OCT-18,,John B. Larson (D),D,CT01,S01,2.0,Y,Y,Y,Y,10-MAR-16,8
9,"(-72.78164699999996, 41.75942100000003)",CT00004,,HARTFORD RESERVOIR #5 DIKE (ALSO SEE #15510),HARTFORD RESERVOIR #5,,-72.78164699999996,41.75942100000003,,,,West Hartford,,,,,,,,,,,,,,,,,,,,,,High,,,,,,,,,,,,,,,,,,,CT,,,,,False,,,,,,,Active In Use,15540.0,0.0,155.0,4403.0,44.0,4.0,,,7399.0,,,WEST HARTFORD,HARTFORD,,0.0,METROPOLITAN DISTRICT COMMISSION,U,,N,,,,,,,315.0,9.0,,,9.0,,301.0,156.0,301.0,,1.1,N,2017-06-23,2.0,Y,DEEP,,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,CT,31-OCT-18,,John B. Larson (D),D,CT01,S02,2.0,Y,Y,Y,Y,,9
10,"(-72.94814809999997, 41.64380064800008)",CT00006,,JACKLIN LAKE DAM,JACKLIN LAKE AKA DUNHAM MILLPOND,,-72.94814809999997,41.64380064800008,,,,Bristol,,,,,,,,,,,,,,,,,,,,,,Significant,,,,,,,,,,,,,,,,,,,CT,,,,,False,,,,,,,Active In Use,1733.0,0.0,0.0,4315.0,43.0,15.0,,,7402.0,,,BRISTOL,HARTFORD,PEQUABUCK RIVER TRIB,0.0,JACKLIN ROD & GUN CLUB,P,USDA NRCS,N,RE,,,R,,,300.0,12.0,,,12.0,,,143.0,143.0,27.5,0.19,Y,2014-05-13,5.0,Y,DEEP,,45.0,,0.0,0.0,0.0,0.0,,USDA NRCS,,,,,,,CT,31-OCT-18,,John B. Larson (D),D,CT01,,2.0,Y,Y,Y,Y,03-FEB-17,10
